ID,topdepth_dipadj,middepth_dipadj,botdepth_dipadj
LISO24,155.38123490987232,155.38973490987232,155.39823490987231
RISO1,155.00770636265958,155.01270636265957,155.01770636265957
RISO2,155.01880636265957,155.02380636265957,155.02880636265957
RISO3,155.02980636265957,155.03480636265957,155.0398063626596
RISO4,155.04090636265957,155.04590636265957,155.0509063626596
RISO5,155.05190636265957,155.0569063626596,155.06190636265958
RISO6,155.06300636265956,155.0680063626596,155.07300636265958
RISO7,155.0740063626596,155.07900636265958,155.08400636265958
RISO8,155.0851063626596,155.09010636265958,155.09510636265958
RISO9,155.09610636265958,155.10110636265958,155.10610636265957
RISO10,155.10720636265958,155.11220636265958,155.11720636265957
RISO11,155.11820636265958,155.12320636265957,155.12820636265957
RISO12,155.12930636265958,155.13430636265957,155.13930636265957
RISO13,155.14030636265957,155.14530636265957,155.15030636265956
RISO14,155.15140636265957,155.15640636265957,155.1614063626596
RISO15,155.16240636265957,155.1674063626596,155.1724063626596
RISO16,155.17350636265957,155.1785063626596,155.18350636265959
RISO17,155.1845063626596,155.18950636265959,155.19450636265958
RISO18,155.1956063626596,155.20060636265958,155.20560636265958
RISO19,155.20660636265958,155.21160636265958,155.21660636265958
RISO20,155.21770636265958,155.22270636265958,155.22770636265957
RISO21,155.22870636265958,155.23720636265958,155.24570636265958
CISO1,155.12975252811276,155.13475252811276,155.13975252811275
CISO2,155.13975252811275,155.14475252811275,155.14975252811277
CISO3,155.14975252811277,155.15475252811277,155.15975252811276
CISO4,155.15975252811276,155.16475252811276,155.16975252811275
CISO5,155.16975252811275,155.17475252811278,155.17975252811277
CISO6,155.17975252811277,155.18475252811277,155.18975252811276
CISO7,155.18975252811276,155.19475252811276,155.19975252811275
CISO8,155.19975252811275,155.20475252811275,155.20975252811277
CISO9,155.20975252811277,155.21475252811277,155.21975252811276
CISO10,155.21975252811276,155.22475252811276,155.22975252811275
CISO11,155.22975252811275,155.23475252811278,155.23975252811277
CISO12,155.23975252811277,155.24475252811277,155.24975252811277
CISO13,155.24975252811277,155.25475252811276,155.25975252811276
CISO14,155.25975252811276,155.26475252811275,155.26975252811278
CISO15,155.26975252811278,155.27475252811277,155.27975252811277
CISO16,155.27975252811277,155.28475252811276,155.28975252811276
CISO17,155.28975252811276,155.29475252811278,155.29975252811278
CISO18,155.29975252811278,155.30475252811277,155.30975252811277
CISO19,155.30975252811277,155.31475252811276,155.31975252811276
CISO20,155.31975252811276,155.32475252811275,155.32975252811275
CISO21,155.32975252811275,155.33475252811274,155.33975252811277
CISO22,155.33975252811277,155.34475252811276,155.34975252811276
CISO23,155.34975252811276,155.35475252811275,155.35975252811275
CISO24,155.35975252811275,155.36475252811277,155.36975252811277
CISO25,155.36975252811277,155.37475252811277,155.37975252811276
CISO26,155.37975252811276,155.38475252811276,155.38975252811275
CISO27,155.38975252811275,155.39475252811275,155.39975252811277
CISO28,155.39975252811277,155.40475252811277,155.40975252811276
LOSU,155.16438760128935,155.30088760128936,155.43738760128934
ROSU,155.1326938006447,155.2551938006447,155.3776938006447
LSIO,155.14179951008722,155.27829951008724,155.41479951008722
RSIO,155.10408221845532,155.22658221845532,155.34908221845532
